----system---- --total-cpu-usage-- -dsk/total- ------memory-usage----- ------tcp-sockets------- -net/total-
     time     |usr sys idl wai stl| read  writ| used  free  buff  cach|lis  act  syn  tim  clo | recv  send
23-07 07:41:40|  9   1  86   3   0| 625k 6907k| 716M  649M  117M 2052M| 12    5    0    2    0 |   0     0 
23-07 07:41:41|  0   0 100   0   0|   0     0 | 716M  649M  117M 2052M| 12    5    0    2    0 |   0     0 
23-07 07:41:42|  0   0 100   0   0|   0     0 | 716M  649M  117M 2052M| 12    5    0    2    0 |   0     0 
23-07 07:41:43|  0   0 100   0   0|   0  8192B| 716M  649M  117M 2052M| 12    5    0    2    0 |   0     0 
23-07 07:41:44|  0   0  99   0   0|   0     0 | 716M  649M  117M 2052M| 12    5    0    2    0 |   0     0 
23-07 07:41:45|  1   0  99   0   0|   0     0 | 716M  649M  117M 2052M| 12    7    0    2    0 |   0   650B
23-07 07:41:46|  0   0  99   0   0|   0   688k| 716M  649M  117M 2052M| 12    7    0    2    0 | 128B  370B
23-07 07:41:47|  0   0 100   0   0|   0     0 | 716M  649M  117M 2052M| 12    7    0    2    0 |   0     0 
23-07 07:41:48|  0   0  99   0   0|   0     0 | 716M  649M  117M 2052M| 12    7    0    2    0 |  76B   90B
23-07 07:41:49|  0   0 100   0   0|   0     0 | 716M  649M  117M 2052M| 12    7    0    2    0 |   0     0 
23-07 07:41:50|  0   0  99   0   0|   0     0 | 716M  649M  117M 2052M| 12   11    0    2    0 |5125B 8446B
23-07 07:41:51|  1   0  99   0   0|   0    48k| 716M  649M  117M 2052M| 12   11    0    2    0 |   0     0 
23-07 07:41:52| 19  15  62   4   0|   0   146M| 695M  771M  117M 1961M| 12   10    0    3    0 | 543B  715B
23-07 07:41:53| 48   3  49   0   0|   0   952k| 676M  745M  117M 2006M| 12   10    0    3    0 |   0     0 
23-07 07:41:54| 26   7  44  23   0|   0   401M| 707M  719M  117M 2001M| 12   10    0    3    0 |   0     0 
23-07 07:41:55| 32   6  49  13   0|   0    61M| 696M  705M  117M 2026M| 12   10    0    3    0 |7691B 6164B
23-07 07:41:56| 28   7  48  17   0|   0   157M| 706M  670M  117M 2051M| 12   10    0    3    0 |   0     0 
23-07 07:41:57|  8   6  29  56   0|   0    49M| 709M  665M  117M 2052M| 12   32    0   15    0 | 411k  172k
23-07 07:41:58|  5   5  33  57   0|   0    45M| 711M  664M  117M 2052M| 12   44    0   72    0 |  89k  151k
23-07 07:41:59|  8   5  38  48   0|   0    39M| 711M  663M  117M 2052M| 12   35    0  139    0 |  94k  151k
23-07 07:42:00|  1   2  51  46   0|   0    33M| 711M  663M  117M 2052M| 12   33    0  141    0 |1162B 1967B
23-07 07:42:01|  0   0 100   0   0|   0  8192B| 711M  663M  117M 2052M| 12   33    0  141    0 |   0     0 
23-07 07:42:02|  2   1  96   0   0|   0   288k| 712M  663M  117M 2052M| 12   25    0  147    0 | 197k   25k
23-07 07:42:03| 23   9  21  46   0|   0    54M| 724M  650M  117M 2052M| 12   69    0  283    0 |1191k  466k
23-07 07:42:04| 12  10  16  62   0|   0    74M| 732M  642M  117M 2052M| 12   92    0  296    0 | 633k  113k
23-07 07:42:05| 31  11  21  38   0|   0    42M| 745M  629M  117M 2052M| 12   85    0  963    0 |1185k  643k
23-07 07:42:06| 16   6  38  40   0|   0    35M| 768M  606M  117M 2052M| 12   98    0  997    0 |1299k  201k
23-07 07:42:07| 20   6  22  52   0|   0    52M| 772M  602M  117M 2052M| 12   83    0    1k   0 |1531k   79k
23-07 07:42:08| 52   8  14  26   0|   0    36M| 792M  582M  117M 2053M| 12  111    0    1k   0 |1069k  481k
23-07 07:42:09| 21   7  20  51   0|   0    54M| 793M  580M  117M 2053M| 12  180    0    1k   0 | 675k  589k
23-07 07:42:10| 41  13  11  35   0|   0    56M| 796M  578M  117M 2053M| 12  213    0    2k   6 |1743k  752k
23-07 07:42:11| 20   8  14  57   0|   0    82M| 797M  576M  117M 2053M| 12  229    0    2k   0 |1226k  191k
23-07 07:42:12| 10   9  17  64   0|   0    82M| 800M  573M  117M 2053M| 12  255    0    2k   0 | 233k  234k
23-07 07:42:13| 20   6  47  28   0|   0    33M| 806M  567M  117M 2053M| 12  170    0    2k   0 |1278k  124k
23-07 07:42:14| 18   3  71   8   0|   0  5936k| 808M  565M  117M 2053M| 12  134    0    2k   0 |1540k  104k
23-07 07:42:15| 29   8  20  42   0|   0    40M| 809M  564M  117M 2053M| 12  171    0    3k   0 |1527k  525k
23-07 07:42:16| 28  10  13  50   0|   0    67M| 811M  563M  117M 2053M| 12  246    0    3k   0 |1870k  414k
23-07 07:42:17| 38  20   6  36   0|   0    79M| 818M  555M  117M 2053M| 12  246    0    3k   0 |1109k  860k
23-07 07:42:18| 29  11  12  48   0|   0    73M| 824M  548M  117M 2054M| 12  274    0    3k   0 | 864k  174k
23-07 07:42:19| 18   8  17  56   0|   0    67M| 826M  547M  117M 2054M| 12  229    0    4k   0 |1005k  188k
23-07 07:42:20| 54  13   7  27   0|   0    55M| 833M  540M  117M 2054M| 12  217    0    4k   0 | 475k  516k
23-07 07:42:21| 23  11  16  50   0|   0    72M| 834M  539M  117M 2054M| 12  256    0    4k   0 | 444k  487k
23-07 07:42:22| 15  13  16  56   0|   0    81M| 834M  538M  117M 2054M| 12  279    0    4k   0 | 529k  253k
23-07 07:42:23| 22  13  10  55   0|   0    89M| 837M  536M  117M 2054M| 12  314    0    4k   0 | 317k  365k
23-07 07:42:24| 28  10  13  48   0|   0    75M| 840M  532M  117M 2054M| 12  280    0    5k   0 | 810k  544k
23-07 07:42:25| 22   8  19  51   0|   0    55M| 844M  528M  117M 2054M| 12  260    0    5k   0 |1286k  116k
23-07 07:42:26| 26  10  20  44   0|   0    51M| 845M  527M  117M 2054M| 12  263    0    5k   0 | 440k  501k
23-07 07:42:27| 23   9  16  52   0|   0    57M| 845M  527M  117M 2054M| 12  303    0    5k   0 | 874k  153k
23-07 07:42:28| 39  11   8  42   0|   0    76M| 847M  525M  117M 2054M| 12  326    0    5k   0 |1087k  580k
23-07 07:42:29| 32  11  11  46   0|   0    67M| 848M  523M  117M 2054M| 12  278    0    6k   0 |1492k  260k
23-07 07:42:30| 48  14   8  29   0|   0    61M| 850M  522M  117M 2055M| 12  299    0    6k   1 |1621k  788k
23-07 07:42:31| 29  13  10  48   0|   0    76M| 851M  520M  117M 2055M| 12  318    0    6k   0 |1116k  412k
23-07 07:42:32| 35  14   9  42   0|   0    78M| 852M  519M  117M 2055M| 12  323    0    7k   1 | 988k  480k
23-07 07:42:33| 46  14   7  33   0|   0    72M| 861M  510M  117M 2055M| 12  323    0    7k   0 | 861k  451k
23-07 07:42:34| 38   9  12  41   0|   0    68M| 866M  505M  117M 2055M| 12  329    0    7k   0 | 222k  360k
23-07 07:42:35| 18   9  15  58   0|   0    72M| 866M  505M  117M 2055M| 12  359    0    7k   0 | 125k  166k
23-07 07:42:36| 32  12  11  45   0|   0    73M| 870M  501M  117M 2055M| 12  333    0    8k   0 | 425k  520k
